Review Text,Actual Sentiment,Predicted Sentiment,Original Rating
app gajelas password nik udh bener salah udh coba ikutin ganti password dikeluarin app suruh login ulang masukin nik password captcha salah,neutral,neutral,5
daftar gagal ga dapet kode verifikasi udah coba makek nomor satu tetep ga dapet kode verifikasi tolong gmn solusi,neutral,neutral,5
terimakasih banyakbanyak bantu moga allah balas baik yg kait pemerintahpuskesmasdokterperawat,positive,positive,5
daftar kolom captcha muter tolong baik rakyat susah,neutral,neutral,1
login aja gk aplikasi yg gak sih kalo gk login kocak,neutral,neutral,5
otp ga masuk masuk jaring internet,neutral,neutral,5
simpelll,neutral,neutral,5
mantabb,neutral,neutral,2
mohon maaf aplikasi susah bikin akun registrasi data sesuai pasu nomer telp kode verifikasi,negative,negative,5
aplikasi buruk sulit daftar manual gak tp apk suka ganggu lg suka pass salah pass gak ubah perintah kode otp gak guna karna gak masuk kode otp wa sms,neutral,neutral,5
bantu,neutral,neutral,1
aplikasi tolol data sesui tetep salah,neutral,neutral,5
aplikasi lot yg paket data lancar wifi lancar bayar biaya non aktif,neutral,neutral,1
aplikasi sampah,negative,negative,5
aplk nya mudah bagus,positive,positive,5
eror,neutral,neutral,2
keren banget aplikasi mudah bantu klaim bpjs mudah terimakasih mobile jkn,positive,positive,5
servernya down pagi,neutral,neutral,4
mantap bpjs mah,positive,positive,5
aplikasi sulit daftar antre faskes lanjut surat rujuk faskes kunjung muncul halaman pendaftarn antre surat rujuk aktif coba daftar antre gagal surat rujuk muncul,negative,negative,1
mudah wajib,positive,positive,1
sy chek in sy antar beliau rs sy chek in radius km dr rs mohon longgar batas radius nya akses mana lansia kendala tdk bs android,neutral,neutral,5
halo ya daftar pake nik ktp selesai daftar sy masuk profil beda ktp nama ktp rengga alamat bogor pas muncul kartu nya rangga alamat karawang tolong,neutral,neutral,1
good the aplikasi,neutral,neutral,5
bantu jamin sehat kitaterima kasih,neutral,neutral,5
buruk susah masuknyamuter baik ya mudah ribet muter mggak internetsudah pakai wifi muter jadi jengkel,neutral,neutral,1
gimana sih suruh verifikasi nomor telpon udh dimasukin kirim otp gak terusss otp nyaa,neutral,neutral,1
tombol loginmasuk ga pencet udah ganti device,neutral,neutral,1
suruh daftar ulang,neutral,neutral,5
dowload nyoba ganti faskes langsung hasil,neutral,neutral,1
bayar bpjs akun ter logout pas coba masuk nik salah pasword salah yg masuk aplikasi ny suka error,neutral,neutral,1
knp gk bs verifikasi wajah sih ibu kali ttp gagal trs pdhl sya cetak kartu sy yg hilang karna minggu besok lahir,negative,negative,5
ga akses aplikasi sebab,neutral,neutral,5
ayo mari bintang aplikasi rusak,negative,negative,5
aplikasi gak daftar aja ribet silah kedip silah senyum silah hadap kiri gagal belas kali gak pilih lewat bilang adminnya ig suruh kantor cabang mantap,neutral,neutral,2
keren mudah warga jabar bpjs,positive,positive,5
oke dah pokok,positive,positive,5
verifikasi sms ga masuk,neutral,neutral,5
ok mudah,positive,positive,2
bantu mobile jkn trimakasih jkn,neutral,neutral,5
masuk baruh pin trus gagal,negative,negative,1
error log out terang log in perangkat device mohon baik,neutral,neutral,5
suka suruh login ulang udah login hasil abis tu ga logout login,positive,positive,5
puas layan nya mudah,positive,positive,5
habis baru aplikasi login ulangtapi captcha nya mutar mutar masuk aplikasi daftar obat ga,neutral,neutral,5
logout terusmasukin data hasil tp gak,neutral,neutral,5
pas daftar captcha nya bgt nyusahin obat doang,neutral,neutral,1
pelajaraktivasi ulang bpjs bisagak solusi aplikasi,positive,positive,5
aplicasi ko suka logout logout muluuntuk apabikin buang daftar logout jd ga daftar onlain,positive,positive,5
mudah rantau tang kampung,positive,positive,1
sip lancar android ios,neutral,neutral,1
error ga akibat ga daftar pol,negative,negative,1
ok mudah,positive,positive,5
ga daftar antri notif skrining sehat daftar skrining riwayat sehat gue bayat woy gratis,neutral,neutral,1
oke,positive,positive,1
data jiwa baca offline coba,neutral,neutral,3
mantap mobile jkn ok banget,positive,positive,1
bantu mudah,positive,positive,1
uodate bagus lot ampun loading capcha jam,positive,positive,4
masuk aplikasi,neutral,neutral,5
hadehhhhhh bolak logout ga baik lahhhhh ngapain kek gituu ituuu,positive,positive,4
suka,positive,positive,1
mudah urus adm,positive,positive,5
mudah akses bpjs sehat,positive,positive,2
logout pasword salah ett pdahal pasword udah bener wktu daftarin peavgitu dah,neutral,neutral,1
mudah,positive,positive,5
log out gilir masuk salah nik nik bener coba berkalikali ampe bosen tetep aja kacau aplikasi,neutral,neutral,2
alhmdulillah terima kasih bu diah detail maju bpjs,neutral,neutral,5
masuk aplikasi force close,neutral,neutral,5
layan cepat,positive,positive,1
gak ganti faskes aplikasi jkn,neutral,neutral,5
ni aplikasi verifnya gabisa udah klik verifv nomor sirih milih metode verifikasi gaada metode nya gimana sih masuk hahrus login ulang benerin,neutral,neutral,1
aplikasi logout sendri mw login kode otp via sms susah ampun,negative,negative,5
mobile jkn bantu efisien terimakasih,neutral,neutral,1
mudah asyekk langsung,positive,positive,5
splikasi bobrokmaumasuk aja susah,negative,negative,5
istri aju ubah kelamin istri krna salah data jd laki dri jam sampe jam blm rubah udh bulak rumah rsposisi istri lgi hamiltolong krja yg bner jgn nerima gajih doangsaya bpjs kls,neutral,neutral,5
mudah cept,positive,positive,5
apk sampah nyoba berulangulang kode verifikasi gak munculmuncul saran aja apk mentah gausah du publish malu,negative,negative,1
oke,positive,positive,1
tengkyu,neutral,neutral,1
ga fitur ngasih nilai faskes biar evaluasi perintah layan faskesnya,neutral,neutral,5
moga bagus aplikasi,positive,positive,1
aplikasi kaya gin data kartu virtual info serta datanyaa beda susah dipake,negative,negative,5
apk busuk aja suruh login gagal,negative,negative,1
mudah aja trimakasih,positive,positive,1
daftar suru login tau sandi,neutral,neutral,2
buset dah gua udh bolak apk masukin otp sms kgk gua udh coba dri sampe skrg kagak gmn cerita apknya trs periksa hrs buka apk verifikasi aja kgk hadehh mohon tim jkn ganteng ganteng cantik cantik baik bugnya bobrok bngt gin apknya sumpah susah njir gk habis pikir gua,neutral,neutral,5
ganti no udh kali ganti nomorr bulak kantor bpjs cuman buatt ganti nomor,neutral,neutral,1
gerak cepat mudah layan,positive,positive,5
berat aja buka aplikasi,neutral,neutral,1
praktis pilih nomor antri kontrol,neutral,neutral,1
woi buka aplikasi muncul layar putih doanggg,neutral,neutral,5
ubah no kk masuk anggota keluarga,neutral,neutral,1
oky tunjang masyarakat,neutral,neutral,5
aplikasi yg sngat membantusatu kali ganti paskes lngsung cepat,positive,positive,5
apk payah verivikasi sulit gadaa niat utk baik kah,negative,negative,1
bagus mudah,positive,positive,2
aplikasi gimana yakemarin batalin pol karna ken ubah tanggal kunjung antri pol batal gak hilang data gabisa ngambil antri udah gantung antri yg batal itudan antri manual rs tolong diupdate data antri yg udah dibatalin biar daftar ulang,neutral,neutral,4
,neutral,neutral,5
lancar mudah,positive,positive,2
aplikasi ga aplikasi bodong daftar aja susah kirim kode otp ulang kali gada muncul,negative,negative,1
payah banget sih daftar daftar gak yg maka data huu sedih tolong,negative,negative,5
muantap pokok,neutral,neutral,4
rubah kartu keluarga aplikasi mobile jkn ko ngga ya rubah nama bayi ibu nama bayi kk kantor nya rubah kk,neutral,neutral,1
mantapmembantu keluarga desak,neutral,neutral,1
g daftar apk konyol no hp udh bnr g kirim kode rekam wajah gagal,negative,negative,5
terimakasih aplikasi mobile jknsangat bantu mudah proses daftar obat online,positive,positive,4
cicil barang kali ya ko lambat bayar kenda denda negeri ku cinta orang sakit kena denda,negative,negative,5
apk jkn bantu,neutral,neutral,5
bantu milik,neutral,neutral,5
aplikasi kaga,neutral,neutral,1
sms verifikasi kirim gilir komen suruh krim screenshoot gk solusi,positive,positive,5
seringkali logout loginnya tombol masuk fungsi,neutral,neutral,2
aplikasi perintah ga yg bener login aja ribet banget,neutral,neutral,5
login ribet udh hasil ganti password pas coba login lg ga,neutral,neutral,5
aplikasi sampah daftar online susah ampun ganggu kalo penuhantriannya abis kasih tau antri ga diprosesniat bikin aplikasi mudah sulit sitolong baik,negative,negative,5
cepat mudah lancar ubah data,positive,positive,1
mudahsimple,neutral,neutral,2
aplikasi d pakai log out otomatis d log in susah kesanya org obat d sulit bgt tdk ad evaluasi baik utk aplikasi mohon jd perhati bpjs sehat utk layan yg maksimal kpd masyarakat,negative,negative,1
update aplikasi sampah pdhl rmh sakit sdh bikin aplikasi mudah minim eror negara slalu aja cari untung ajg bjngn binatang,neutral,neutral,5
bagosssss,neutral,neutral,5
rangin korupsi benerin aplikasi nya captcha captcha sih gamau angka woi,neutral,neutral,5
mudah mwngoperasikannya,positive,positive,2
kali proses tingkat layan lengkap layan serta sahabat jkn coba layan mobile jkn care center kurang pisah kk kanal whatsapp data mobile jkn kk keluarga orangtua mohon tingkat mudah,neutral,neutral,2
aplikasi eror online pas buka jaringa offline,neutral,neutral,1
,neutral,neutral,5
sistem kamera nya gimana si scan wajah gabisa kotak bisa,neutral,neutral,4
ramah senang tenang nyaman komunikatif sumringah obat,positive,positive,1
baik,positive,positive,1
daftar susah nunggu kode captcha nya muncul jaring bagus banget,neutral,neutral,1
suka aplikasi jkn ribet mesti daftar lagilagi lagidi ulang ulang teruspadahal daftar periksa dokterhadeuh benah donk aplikasi nyamasa perintah jelek banget payah,negative,negative,5
tolong baik app nya log in coba mudah log in apaapa susah udah uninstall berkalikali gonta ganti hp bayar app susah,neutral,neutral,5
verify no hp ga tlng baik,positive,positive,5
coba ya,neutral,neutral,5
lapor cepat pandawa bpjs bantu selesai terima kasih bpjs sehat tim pandawa,positive,positive,1
alhamdulillah pakai jkn bantu obat mudah sulit sukses mobile jkn,neutral,neutral,5
tolong min aplikasi tibatiba pas masuk aplikasi notif masuk server gk masuk hp mana login habis login otp nya gk muncul tolong baik,positive,positive,2
lemottyyyyyy,neutral,neutral,1
sippp bantu,neutral,neutral,5
daftar status gk aktif,neutral,neutral,1
app nya macet not user friendly,neutral,neutral,5
daftar rs online,neutral,neutral,5
buka updatean versi kemarin pas versi buka,neutral,neutral,1
banyak maintenance,neutral,neutral,3
mobile jkn buka,neutral,neutral,5
baik login app buat login tambah akun pakai akunsuami app nya mudah ambil nomor antri dokter tetep ngantri faskesnya,positive,positive,5
jkn knapa gak pake,neutral,neutral,2
ubah faskes,neutral,neutral,5
mantap ga ribet,positive,positive,2
ribet daftar pake apk nya orang obat nya mudah bikin ribet bayar payah pake apk tuju nya biar daftar rmah eh skarang bikin ribet ga,neutral,neutral,5
maju berkah bpjs jkn,neutral,neutral,5
plislah kasih masuk dengar hindar otp nomor gak masuk sms tim nya gimana serius canda kritik mana aja,neutral,neutral,1
apk gak mateng suruh instal problem proses registrasi log in apk ha maju negara banyakin noh duit rakyat korupsi cuman bikin aplikasi ga,neutral,neutral,5
mudah aplikasi error,neutral,neutral,5
mudah oleh layan sehat,positive,positive,4
,neutral,neutral,1
aplikasi cacat jgn sosoan rubah atur serba online bikin ribet orang aja baik layan bug d aplikasi stiap pake eror,positive,positive,5
pasti bantu biaya sehat,neutral,neutral,5
sangat bantu mudah,positive,positive,5
alhamdulillahgampang loginy,neutral,neutral,1
tolong akses dr nik batas login,neutral,neutral,1
mudah pasien,positive,positive,5
login aja susah kode verif lupa sandi nunggunya ntah kirim wkwk,negative,negative,5
aplikasi kalo gunakanini mudah sulit,neutral,neutral,2
mantap udh gak ngantriii tinggal ketik ketik nyampai puskesmas udh panggil deh mantapppp,positive,neutral,1
aplikasi ga error mulu kocak,negative,negative,3
daftar susah berulangkali pulsa rujuk pol pol nggak ambil antri pol bisa pol rujuk faskes aja,negative,negative,5
gimana sih jkn bolak daftar gak masuk sandi salah gak yg rubah gak hadeh,neutral,neutral,5
terimakasih bpjs kesehatansemoga sehat selaluamin yarobal alamin,neutral,neutral,5
praktis kalo dipake obat rs,neutral,neutral,5
cepat respon nya mohon tahan sukses,positive,positive,5
terang offline jaring bagus,positive,positive,1
tolong baik aplikasi susah akses admin akses baik rakyat sulit daftar periksa mobile jkn aplikasi aja gak akses,neutral,neutral,1
aplikasi manfaat guna beda langsung daftar antre dr a aplikasi jkn alih dr b klinik dr a dr b pasien pilih dr aplikasi jkn pasien pilih dr a jadi klinik yasa husada duri kosambi,neutral,neutral,5
jelas obat rinci lengkap,neutral,neutral,5
mudah proses,positive,positive,2
astaghfirullah minbantulah min lupa password jkn udah pencet lupa sandi masukin nik yg bener tinggal kirim kode sms tp coba gak internet kencang,neutral,neutral,2
aplikasi ampas bnget suruh download sma tugas rs ga bsa daftar dh coba d daftarin sma tugas jga ttep ga bsa periksa ksehatan sya alhasil sya ga bsa periksa krna wajib download apk,neutral,neutral,4
aplikasi ga batas sesi login habis tulis login device urgent,neutral,neutral,3
smoga layan bpjs mudah masyarakat obat,positive,positive,5
yes mantap,positive,positive,1
gimana nunggu kode verifikasi nya ga muncul muncul udah ulang kali tetep aja ga bis,neutral,neutral,4
aplikasi masak verifikasi no hp kirim kode verifikasi negara layan sehat aja susah,negative,negative,5
susah aspek bayar ecommerce minta virtual keluarga,negative,negative,1
ribet pakai verifikasi wajah atur orang kampung hp android anak jkn orang tua pindah faskes verifikasi wajah hp androi anak orang tua ribet memperberaktkan masyarakat,neutral,neutral,1
aplikasi ribet jaring bagus sinyal bagus gagal ampas mudah sulit,positive,positive,1
d f pas daftar online paskes paksa deh antri daftar ofline kli sperti,neutral,neutral,1
serba onlineengk ribet kesana kesini,neutral,neutral,1
aplikasi sempurna rilis hambat orang obat aplikasi mudah sulit kode otp,neutral,neutral,5
mudah proses,positive,positive,4
respon cepat ribet,positive,positive,5
kecewa dg apk masuk akun jkn sendirisaya nungkak bayar tolong sulit kamikami nungkak dengar,negative,negative,5
cacat aplikasi batal daftar daftar lanjut layar tamilan langsung blank,neutral,neutral,3
gambar surat rujuk menu info riwayat layan ga tolong baik aplikasi udah coba ganti hp tetep ga,positive,positive,1
mlayan,neutral,neutral,5
aplikasi mantap,positive,positive,2
daftar akun pas masuk no hp kode verifikasi masuk hp pulsa nya da aktik tolong bantu,neutral,neutral,5
susah daftar,negative,negative,2
bantu baharu tnpa kantor bpjsnya,neutral,neutral,5
praktis engga buka aplkasinya yah cek tagih engga,neutral,neutral,1
membantuaplikasi yg bagus,positive,positive,2
good app,neutral,neutral,1
aplikasi susah masyarakat ufh download tp nyusahin kode otp gada masuk susah pokok ga samsek,negative,negative,5
mantap,positive,positive,5
verifikasi ganti pasword nomor verifikasi kirim nomor masuk sulit buka aplikasi karna lupa pasword,negative,negative,3
saran aplikasi gampang tolong lihat target serta bpjs ap orang tua sepuh laku proses face recognizeddan arah kameratidak serta baca tulis bantu sulit daftar bpjs mobile masuk kategori orang tua atas baca tulis lewat proses face recognized,negative,negative,1
buruk lelet lambat kalo bintang gua gk kasih dah,negative,negative,5
mantapsangat bantu sekalipokok mantappp,neutral,neutral,5
aplikasi nya,neutral,neutral,5
bagusss,neutral,neutral,2
alhamdullilah jkn mobile bantu keluarga tata cek sehat cek rumah sakitdan terima kasih jkn mobile,neutral,neutral,2
mudah operasi nya,positive,positive,1
susah banget kode verifikasi kacawww negri konoha,negative,negative,5
bpjs gaze klu tahap ritl,neutral,neutral,1
op parah,negative,negative,4
bosokk,neutral,neutral,1
mudah lancar,positive,positive,1
tolong verifikasi nomor hape nya ga masuk masuk nih kode otp kalo orang kritik tu liat baca evaluasi nyuruh dm email kalo ga direspon,neutral,neutral,5
bantu,neutral,neutral,4
dg aplikasi bantu serta bpjs aplikasi lengkap lancar penggunaanya,neutral,neutral,5
kode otp nya muncul no telfon isi tolong d baik,positive,positive,5
bug cuih,neutral,neutral,5
sulit masuk fitur scan wajah,negative,negative,1
nyusahin update log out,neutral,neutral,5
layan bagus kantorbpjs,positive,positive,5
bagus bantu daftar periksa faskes info riwayat layan yg muncul cm yg riwayat istri anak ndak muncul masuk benah aplikasi trima kasih,positive,positive,5
verifikasi sms gak masuk apk aneh,negative,negative,1
apl nya bantu trimakasih,neutral,neutral,3
bantu masyarakat yg ekonomi lemah,neutral,neutral,1
aplikasi gk jelashabis update masuk gk kode captcha gk keluarbayar gk prnah telat gk apkny,neutral,neutral,5
batu trimakasih mobile jkn,neutral,neutral,1
mudah akses mana hemat tenaga biaya terima kasih,positive,positive,1
loading nyusahin aja,neutral,neutral,5
aplikasi bpjs bantu,neutral,neutral,5
layan muas,neutral,neutral,2
aplikasi ampas susah banget daftar nya tinggal masukin kode otp nomor aja susah banget gk kirim kode otp nya,negative,negative,5
aplikasi sampah verifikasi ganti nomor aja kali coba tetep gk sms yg masuk,negative,negative,5
bingung aplikasi bantu lupa password aja gk respon klo emang gk niat aplikasi mending manual aja gk aplikasi bikin susah orang yg obat,negative,negative,5
info riwayat layan ko isi obat yg kasih nilai,neutral,neutral,2
aplikasi tolol verivikasi muka gabisa ngulang,neutral,neutral,5
aplikasi ga manfaat daftar rujuk aja sulit masukin qr radius km rs daftar online gitu,negative,negative,5
aplikasi bagus mudah guna bpjs,positive,positive,1
aplikasi batu,neutral,neutral,3
jkn susah masuk tolong bantu baik nya,neutral,neutral,1
mudah proses ambil antre,positive,positive,5
gimana daftar auto debit kode verifikasi ga muncul muncul kode apk muncul,neutral,neutral,1
aplikasi payah gara logout orang tua gw nga priksa masuk nya susah jelas udh bener payah,negative,negative,5
kena verivikasi otp lambat verivikasi atur nya malam,negative,negative,5
mudah akses sehat,positive,positive,5
manfaat moga berkah,neutral,neutral,1
mantap jkn mobile,positive,positive,5
fast respon aplikasi bagussangat bantu,neutral,neutral,5
masuk gak nik bnr sandi jga bnr daftar ulang bilang nya nik trdaftar gmna sih tlong baik bkin susah orang masuk bingung nya,neutral,neutral,1
baru kalo login data nggak ubah,neutral,neutral,1
pindah faskes yaaa,neutral,neutral,5
trimakasih jkn bantu dlm sehat sy,neutral,neutral,5
gmna ko eror daftar faskes terang habis trus aplikasi pas masuk kode captcha nya ga muncul parah kelas aplikasi sehat nasional ga pelihara,negative,negative,5
tolong benah banget logout login ganti pinnyusahin bgt screening isi dipake masalalahnya,neutral,neutral,5
login apk nya chapca ny gk timbul mudah sulit minggu gin,neutral,neutral,5
aplikasi sampahh,neutral,neutral,5
mensos menkes yth mohon buka yaaa bpjsknya keluarga sy terima bpjsknya pbi perintah yg baik transparan adil,positive,positive,1
jkn bantu mudah layan sehat,positive,positive,3
technologi mudah sukses mobile jkn,positive,positive,1
tolong baik aplikasi nya salah otp login sebab lambat buat data,neutral,neutral,5
habis update daftar online ambil nomor antri log out otomatis,neutral,neutral,5
eror,neutral,neutral,5
,neutral,neutral,5
log out masuk lg tdk nik password captcha tdk masuk hapus instal ulang hasil,neutral,neutral,1
login captcha muter mulu,neutral,neutral,1
aplikasi yg susah logout captcha gak muncul sulit login lg lg sakit obat gak obat gak masuk,negative,negative,2
bantu terimakasih jkn,neutral,neutral,5
bantu,neutral,neutral,1
otp ngak orang obat halang,neutral,neutral,5
astaghfirullah istighfar ni aplikasi bikin akun susah bener gagal,negative,negative,5
otp susah nya ampun detik tunggu sampe sms masukparaahhh,negative,negative,5
aplikasi mudah yaudah repot eror,neutral,neutral,1
bagus sesuai minta,positive,positive,1
aplikasi gk buka sy unistal trus sy download lg sy instal lg eeeeh kg isntal,neutral,neutral,5
moga simple mudah,positive,positive,5
cepat mudah,positive,positive,5
dana aja gede aplikasi kek gin abis mana duit nya wajib pake jkn kalo rumasakit gede apk nya kaya gin orang belakang sulit orang sakit bayang karma nya,negative,negative,1
kode otp auto debit engga kasih kasih,neutral,neutral,5
mudah daftar tp tolong jngn bntr login kdg pas pke tb login lg jd ribet,positive,positive,5
good bantu,neutral,neutral,5
log out sih ribet nya orang tua gak paham teknologi kontrol minggu susah log out melulu,negative,negative,5
app sampah error trs sulit org brobat,negative,negative,5
mantap mudah manfaat banget,positive,positive,1
puas layan cepat,positive,positive,2
min ambil nomor antri trus tulis nama yg d periksa ga,neutral,neutral,2
keren layan anak lahir cepet banget mudah aplikasi gagal chat pandawa kirim form online dokumen lengkap ngga sampe menit selesai proses verifikasi jaman,neutral,neutral,5
soo verifikasi wajah gagal masukin nomor telfon pesan masukin verifikasi jadi bad banget,negative,negative,5
manfaat call center wa bjsnya pake bot eror,neutral,neutral,2
mantapgampang banget pindah faskes,neutral,neutral,5
moga mudah proses,positive,positive,5
masuk masuk hp hp kacau,neutral,neutral,2
sering error aplikasi nya,negative,negative,5
update trusmalah bikin males,neutral,neutral,5
system kadang error,negative,negative,5
gabisa d eror,neutral,neutral,5
